Instrument_Device: Submersible Mini AZ
Instrument_SerialNumber: SZM-AZ-00001
Time_InstrumentClock: 03:15:45
Time_TimeZone: UTC-4
Activation_ActivationMethod: Switch

00:00:00, 22.5, 0.000
00:02:00, 21.8, 12.244
00:04:00, 20.1, 24.151
00:06:00, 18.3, 35.399
00:08:00, 15.9, 45.678
00:10:00, 13.2, 54.699
00:12:00, 10.8, 62.199
00:14:00, 8.5, 67.947
00:16:00, 6.9, 71.743
00:18:00, 5.7, 73.426
00:20:00, 5.1, 72.882
00:22:00, 4.9, 70.047
00:24:00, 5.7, 64.910
00:26:00, 7.4, 57.509
00:28:00, 9.8, 47.929
00:30:00, 12.6, 36.298
00:32:00, 15.7, 22.783
00:34:00, 18.6, 7.586
00:36:00, 20.9, 0.732
00:38:00, 22.1, 10.000
00:40:00, 22.0, 21.736
00:42:00, 20.7, 33.603
00:44:00, 18.6, 45.278
00:46:00, 16.0, 56.449
00:48:00, 13.1, 66.821
00:50:00, 10.3, 76.119
00:52:00, 7.9, 84.090
00:54:00, 6.2, 90.506
00:56:00, 5.3, 95.167
00:58:00, 5.1, 97.906
01:00:00, 5.6, 98.590
01:02:00, 6.7, 97.125
01:04:00, 8.3, 93.453
01:06:00, 10.4, 87.553
01:08:00, 12.8, 79.438
01:10:00, 15.4, 69.155
01:12:00, 18.0, 56.784
01:14:00, 20.3, 42.434
01:16:00, 22.1, 26.238
01:18:00, 23.2, 8.350
01:20:00, 23.4, 0.000
01:22:00, 22.8, 9.659
01:24:00, 21.5, 19.854
01:26:00, 19.5, 30.268
01:28:00, 17.0, 40.588
01:30:00, 14.2, 50.514
01:32:00, 11.4, 59.761
01:34:00, 8.8, 68.062
01:36:00, 6.7, 75.169
01:38:00, 5.3, 80.856
01:40:00, 4.7, 84.920
01:42:00, 4.9, 87.188
01:44:00, 5.8, 87.518
01:46:00, 7.3, 85.798
01:48:00, 9.4, 81.948
01:50:00, 11.9, 75.921
01:52:00, 14.7, 67.701
01:54:00, 17.6, 57.304
01:56:00, 20.3, 44.775
01:58:00, 22.6, 30.186
02:00:00, 24.2, 13.636
02:02:00, 25.0, 0.000
02:04:00, 24.9, 12.244
02:06:00, 23.9, 24.151
02:08:00, 22.2, 35.399
02:10:00, 19.8, 45.678
02:12:00, 17.1, 54.699
02:14:00, 14.3, 62.199
02:16:00, 11.7, 67.947
02:18:00, 9.6, 71.743
02:20:00, 8.2, 73.426
02:22:00, 7.5, 72.882
02:24:00, 7.6, 70.047
02:26:00, 8.5, 64.910
02:28:00, 10.2, 57.509
02:30:00, 12.5, 47.929
02:32:00, 15.2, 36.298
02:34:00, 18.1, 22.783
02:36:00, 20.8, 7.586
02:38:00, 22.9, 0.732
02:40:00, 24.1, 10.000
02:42:00, 24.3, 21.736
02:44:00, 23.4, 33.603
02:46:00, 21.6, 45.278
02:48:00, 19.1, 56.449
02:50:00, 16.3, 66.821
02:52:00, 13.4, 76.119
02:54:00, 10.7, 84.090
02:56:00, 8.5, 90.506
02:58:00, 7.0, 95.167
03:00:00, 6.3, 97.906
03:02:00, 6.4, 98.590
03:04:00, 7.2, 97.125
03:06:00, 8.8, 93.453
03:08:00, 10.9, 87.553
03:10:00, 13.4, 79.438
03:12:00, 16.1, 69.155
03:14:00, 18.8, 56.784
03:16:00, 21.3, 42.434
03:18:00, 23.3, 26.238
03:20:00, 24.6, 8.350
03:20:45, 24.9, 0.000
